report_id,date_time,injured,killed
20202129,4/4/20 14:51,0,0
20202137,4/4/20 14:15,0,0
20202128,4/4/20 14:10,2,0
20202126,4/4/20 13:40,1,0
20202127,4/4/20 13:05,0,0
20202124,4/4/20 12:10,0,0
20202123,4/4/20 11:40,1,0
20018998,4/4/20 11:40,0,0
20202121,4/4/20 10:47,0,0
20021066,4/4/20 8:00,0,0
20018947,4/4/20 1:40,0,0
20202120,4/3/20 20:30,0,0
20018918,4/3/20 19:31,0,0
20202116,4/3/20 18:25,0,0
20202117,4/3/20 18:15,2,0
20202115,4/3/20 18:00,1,0
20018893,4/3/20 17:09,0,0
20202113,4/3/20 16:25,1,0
20202114,4/3/20 15:11,3,0
20018864,4/3/20 13:50,0,0
20202112,4/3/20 10:55,0,1
20202108,4/3/20 7:43,1,0
20202107,4/3/20 5:05,0,0
20202111,4/3/20 3:48,0,0
20018780,4/3/20 2:00,0,0
20202105,4/2/20 22:30,0,0
20018910,4/2/20 22:00,1,0
20202103,4/2/20 19:15,0,0
20018743,4/2/20 19:14,0,0
20018737,4/2/20 19:10,0,0
20202102,4/2/20 18:50,0,0
20202101,4/2/20 17:15,1,0
20202100,4/2/20 16:42,1,0
20202099,4/2/20 15:34,2,0
20202098,4/2/20 14:35,0,0
20202095,4/2/20 14:10,0,0
20202092,4/2/20 8:31,0,0
20018641,4/2/20 7:27,0,0
20202091,4/2/20 4:31,2,0
20202097,4/2/20 0:01,0,0
20202110,4/2/20 0:00,0,0
20202106,4/1/20 20:00,1,0
20202090,4/1/20 19:01,3,0
20202089,4/1/20 18:34,1,0
20202104,4/1/20 16:05,2,0
20202088,4/1/20 14:57,1,0
20018508,4/1/20 12:37,0,0
20018594,4/1/20 11:20,1,0
20202084,4/1/20 6:00,1,0
20202085,4/1/20 5:30,2,0
20202083,4/1/20 3:10,1,0
19201095,4/30/19 23:55,0,0
192450,4/30/19 18:16,1,0
19201093,4/30/19 17:36,1,0
192495,4/30/19 17:25,0,0
19201094,4/30/19 17:17,1,0
192537,4/30/19 17:00,0,0
192449,4/30/19 16:53,1,0
192975,4/30/19 15:40,0,0
19201092,4/30/19 15:14,1,0
19201091,4/30/19 14:39,0,0
192560,4/30/19 14:00,0,0
19201090,4/30/19 13:27,3,0
192617,4/30/19 10:23,1,0
19201088,4/30/19 9:59,4,0
19201085,4/30/19 9:37,1,0
192441,4/30/19 9:00,0,0
19201084,4/30/19 8:45,2,0
19201083,4/30/19 8:30,1,0
192576,4/30/19 8:18,1,0
19201082,4/30/19 8:10,1,0
19201081,4/30/19 7:50,1,0
192487,4/30/19 3:25,0,0
19014440,4/30/19 0:38,0,0
19201080,4/30/19 0:15,1,0
19201079,4/30/19 0:09,1,0
192481,4/29/19 23:10,0,0
192456,4/29/19 22:10,1,0
19201078,4/29/19 20:25,2,0
192446,4/29/19 18:00,0,0
192488,4/29/19 17:48,0,0
192445,4/29/19 16:31,0,0
19201077,4/29/19 14:32,1,0
192455,4/29/19 14:00,1,0
19201074,4/29/19 12:55,0,0
192673,4/29/19 12:10,0,0
19201075,4/29/19 11:00,0,0
193500,4/29/19 10:27,2,0
19201197,4/29/19 8:35,1,0
192505,4/29/19 7:40,1,0
192517,4/29/19 6:55,0,0
192664,4/29/19 3:05,0,0
192447,4/29/19 0:13,0,0
19201073,4/29/19 0:00,0,0
19201089,4/28/19 22:15,0,0
19201070,4/28/19 20:01,1,0
192440,4/28/19 18:00,0,0
192408,4/28/19 17:04,1,0
192390,4/28/19 15:52,0,0
19201069,4/28/19 15:11,1,0
192451,4/28/19 14:53,1,0
19201066,4/28/19 13:26,1,0
192388,4/28/19 12:49,0,0
192409,4/28/19 12:16,2,0
192527,4/28/19 12:00,1,0
